"dateTime","maxTemp","minTemp","avgTemp","tempDept","relHum","dewPoint","wetBulbTemp","heatDays","coolDays","sunrise","sunset","weatherType","precip","snow","snowDepth","stnPressure","seaPressure","windSpeed","windPeakSpeed","windPeakDir","windSusSpeed","windSusDir"
"2016-01-01T00:00:00",29,24,26,1.5,76,20,24,39,0,809,1715,"SN,BR","0.04","0.7","1",29.14,30.11,15.539,31,250,24,260
"2016-01-02T00:00:00",35,28,32,7.7,71,22,28,33,0,809,1716,"","0.00","0.0","1",29.02,29.97,14.614,30,230,23,230
"2016-01-03T00:00:00",33,25,29,4.8,66,20,27,36,0,809,1717,"SN","T","T","1",29.03,30.04,9.986,30,290,23,290
"2016-01-04T00:00:00",27,7,17,-7.1,78,13,18,48,0,809,1718,"SN,BR","T","0.2","1",29.4,30.45,7.742,21,40,17,30
"2016-01-05T00:00:00",29,8,18,-5.9,69,10,17,47,0,809,1719,"","0.00","0.0","1",29.58,30.56,7.586,21,210,16,200
"2016-01-06T00:00:00",36,20,28,4.2,63,16,23,37,0,809,1720,"","0.00","0.0","1",29.38,NA,7.601,20,200,15,210
"2016-01-07T00:00:00",42,28,35,11.3,59,21,29,30,0,809,1721,"","0.00","0.0","1",29.22,30.17,4.823,13,140,12,150
"2016-01-08T00:00:00",39,30,34,10.4,80,30,34,31,0,809,1722,"RA,BR","0.15","0.0","T",28.97,29.9,6.72,15,160,12,160
"2016-01-09T00:00:00",42,38,40,16.5,96,40,41,25,0,809,1723,"RA,FG,BR","0.53","0.0","T",28.84,29.77,7.294,17,220,13,220
"2016-01-10T00:00:00",38,16,27,3.5,78,18,23,38,0,808,1724,"RA,SN,BR,UP,BLSN","0.18","1.0","T",28.71,29.71,17.758,42,300,31,320
"2016-01-11T00:00:00",16,10,13,-10.4,75,6,11,52,0,808,1725,"SN,BR,BLSN","0.08","1.7","2",29,29.98,12.216,28,270,24,270
"2016-01-12T00:00:00",23,13,18,-5.3,75,11,16,47,0,808,1726,"SN,FZFG,BR,UP,HZ,BLSN,FG","0.08","1.6","4",28.79,29.76,18.197,36,270,28,270
"2016-01-13T00:00:00",18,12,15,-8.3,76,8,12,50,0,807,1727,"SN,BR,HZ","0.03","0.5","4",29.05,30,13.169,25,230,22,230
"2016-01-14T00:00:00",34,18,26,2.8,81,21,24,39,0,807,1729,"SN,BR,HZ","T","T","5",28.8,29.76,5.63,22,230,17,230
"2016-01-15T00:00:00",42,22,32,8.8,85,33,35,33,0,806,1730,"RA,FZFG,BR,FG","0.05","0.0","3",28.55,29.47,10.161,25,270,21,270
"2016-01-16T00:00:00",33,26,30,6.8,71,20,26,35,0,806,1731,"SN","T","T","T",28.74,29.74,13.801,29,290,21,300
"2016-01-17T00:00:00",26,9,18,-5.1,70,5,11,47,0,805,1732,"SN","T","T","T",28.94,29.94,15.475,31,280,24,270
"2016-01-18T00:00:00",15,7,11,-12.1,73,4,10,54,0,805,1733,"SN,BR,UP","0.01","0.2","T",29.13,30.15,13.118,31,290,25,290
"2016-01-19T00:00:00",21,5,13,-10.1,71,6,12,52,0,804,1735,"SN,HZ","T","T","T",29.4,30.42,7.612,19,270,14,270
"2016-01-20T00:00:00",22,12,17,-6.1,76,9,14,48,0,804,1736,"SN,BR,HZ","T","T","T",29.32,30.3,4.423,11,240,8,280
"2016-01-21T00:00:00",26,12,19,-4.1,81,17,20,46,0,803,1737,"SN,BR,HZ","0.01","0.1","T",29.35,30.35,5.519,17,260,13,250
"2016-01-22T00:00:00",29,18,24,0.9,76,17,22,41,0,802,1738,"BR,HZ","T","T","T",29.31,30.29,6.163,17,40,15,50
"2016-01-23T00:00:00",26,17,22,-1.1,78,16,21,43,0,801,1740,"SN,BR","T","0.1","T",29.21,30.18,6.254,20,30,15,40
"2016-01-24T00:00:00",32,15,24,0.9,74,19,24,41,0,801,1741,"HZ","0.00","0.0","T",29.05,30.02,8.324,26,220,21,220
"2016-01-25T00:00:00",40,26,33,9.8,75,26,31,32,0,800,1742,"RA,BR,UP,HZ","0.02","0.0","T",28.96,29.89,10.835,24,180,18,190
