LiftID,Lake,Agency,Location,Latitude,Longitude,STATD,Model_unit,Grid,Year,Month,Day,SurveyType,SurveyType2,SurveyDescription,Gear,Nights,NetLength(km),Depth1(m),Depth2(m),AvgDepth(m),SurfaceTemp(C),BottomTemp(C),NetMaterial,MinMesh(mm),MaxMesh(mm),Comments
MIDNR_1985-1,MICHIGAN,MIDNR,,,,MM-6,NORTH,1509,1985,4,9,,,,,2,1.463039953,18.28799942,20.11679936,,0,0,,1,,
CORA_2015204,MICHIGAN,CORA,,45.77286667,-86.15968333,MM-2,NORTH,312,2015,4,14,22,,,845135,3,1.828799941,45.71999,48.76799,47.24399849,,,,,,
CORA_2015005,MICHIGAN,CORA,,45.77286667,-86.15968333,MM-2,NORTH,312,2015,4,14,COMMERCIAL,Commercial Sampling,,845135,3,1.828799941,45.71999,48.76799,47.24399849,,,,,,
CORA_2015002,MICHIGAN,CORA,,45.92173333,-84.99276667,MM-3,NORTH,219,2015,3,18,COMMERCIAL,Commercial Sampling,,845175,5,0.761999976,19.81199,22.85999,21.33599932,,,,,,
CORA_2015202,MICHIGAN,CORA,,45.92173333,-84.99276667,MM-3,NORTH,219,2015,3,18,22,,,845175,5,0.761999976,19.81199,22.85999,21.33599932,,,,,,
MIDNR_1985-10,MICHIGAN,MIDNR,,,,MM-5,NORTH,911,1985,4,25,,,,,1,1.463039953,18.28799942,20.11679936,,0,0,,1,,
MIDNR_1985-11,MICHIGAN,MIDNR,,,,MM-5,NORTH,912,1985,4,29,,,,,0,0.012192,,54.86399824,,0,0,,1,,
MIDNR_1985-12,MICHIGAN,MIDNR,,,,MM-5,NORTH,912,1985,4,29,,,,,0,0.012192,,54.86399824,,0,0,,1,,
MIDNR_1985-13,MICHIGAN,MIDNR,,,,MM-3,NORTH,518,1985,4,30,,,,,1,2.19455993,18.28799942,20.11679936,,0,0,,1,,
MIDNR_1985-132,MICHIGAN,MIDNR,,,,MM-6,NORTH,1509,1985,8,7,,,,,,,,,,0,0,,,,
MIDNR_1985-14,MICHIGAN,MIDNR,,,,MM-3,NORTH,518,1985,5,1,,,,,1,2.19455993,27.43199912,29.26079906,,0,0,,1,,
MIDNR_1985-15,MICHIGAN,MIDNR,,,,MM-3,NORTH,518,1985,5,2,,,,,1,2.19455993,36.57599883,38.40479877,,0,0,,1,,
MIDNR_1985-16,MICHIGAN,MIDNR,,,,MM-3,NORTH,616,1985,5,6,,,,,1,2.926079906,3.657599883,5.486399824,,0,0,,1,,
MIDNR_1985-17,MICHIGAN,MIDNR,,,,MM-3,NORTH,616,1985,5,7,,,,,1,2.926079906,36.57599883,38.40479877,,0,0,,1,,
MIDNR_1985-18,MICHIGAN,MIDNR,,,,MM-3,NORTH,418,1985,5,8,,,,,1,2.926079906,9.143999707,10.97279965,,0,0,,1,,
MIDNR_1985-19,MICHIGAN,MIDNR,,,,MM-4,NORTH,815,1985,6,3,,,,,1,2.19455993,18.28799942,20.11679936,,0,0,,1,,
MIDNR_1985-2,MICHIGAN,MIDNR,,,,MM-6,NORTH,1509,1985,4,17,,,,,,,,,,0,0,,,,
MIDNR_1985-20,MICHIGAN,MIDNR,,,,MM-4,NORTH,815,1985,6,4,,,,,1,2.926079906,18.28799942,20.11679936,,0,0,,1,,
MIDNR_1985-21,MICHIGAN,MIDNR,,,,MM-4,NORTH,815,1985,6,5,,,,,1,2.19455993,9.143999707,10.97279965,,0,0,,1,,
MIDNR_1985-22,MICHIGAN,MIDNR,,,,MM-4,NORTH,715,1985,6,6,,,,,1,1.463039953,9.143999707,10.97279965,,0,0,,1,,
MIDNR_1985-23,MICHIGAN,MIDNR,,,,MM-4,NORTH,715,1985,6,6,,,,,1,1.463039953,9.143999707,10.97279965,,0,0,,1,,
MIDNR_1985-230,MICHIGAN,MIDNR,,,,MM-3,NORTH,615,1985,6,10,,,,,1,2.926079906,18.28799942,20.11679936,,0,0,,1,,
MIDNR_1985-24,MICHIGAN,MIDNR,,,,MM-3,NORTH,615,1985,6,10,,,,,1,2.926079906,18.28799942,20.11679936,,0,0,,1,,
MIDNR_1985-25,MICHIGAN,MIDNR,,,,MM-4,NORTH,816,1985,6,13,,,,,1,2.926079906,3.047999903,4.876799844,,0,0,,1,,
MIDNR_1985-26,MICHIGAN,MIDNR,,,,MM-4,NORTH,716,1985,6,17,,,,,0,0.048767998,,85.34399727,,0,0,,1,,
MIDNR_1985-27,MICHIGAN,MIDNR,,,,MM-4,NORTH,716,1985,6,18,,,,,0,0.048767998,,60.04559808,,0,0,,1,,
MIDNR_1985-28,MICHIGAN,MIDNR,,,,MM-4,NORTH,,1985,5,14,,,,,0,,,7.010399776,,0,0,,,,
MIDNR_1985-30,MICHIGAN,MIDNR,,,,MM-5,NORTH,813,1985,9,3,,,,,1,2.19455993,27.43199912,29.26079906,,0,0,,1,,
MIDNR_1985-31,MICHIGAN,MIDNR,,,,MM-5,NORTH,813,1985,9,5,,,,,0,0.012192,,54.86399824,,0,0,,1,,
MIDNR_1985-32,MICHIGAN,MIDNR,,,,MM-5,NORTH,813,1985,9,5,,,,,0,0.012192,,54.86399824,,0,0,,1,,
MIDNR_1985-5,MICHIGAN,MIDNR,,,,MM-6,NORTH,1509,1985,4,18,,,,,0,0.012192,,39.62399873,,0,0,,1,,
MIDNR_1985-6,MICHIGAN,MIDNR,,,,MM-6,NORTH,1509,1985,4,18,,,,,0,0.012192,,54.86399824,,0,0,,1,,
MIDNR_1985-9,MICHIGAN,MIDNR,,,,MM-5,NORTH,911,1985,4,24,,,,,1,2.19455993,18.28799942,20.11679936,,0,0,,1,,
MIDNR_1985-9042,MICHIGAN,MIDNR,,,,MM-1,NORTH,308,1985,10,9,,,,,,,,,,0,0,,,,
MIDNR_1985-9043,MICHIGAN,MIDNR,,,,MM-1,NORTH,505,1985,10,10,,,,,,,,,,0,0,,,,
MIDNR_1985-9044,MICHIGAN,MIDNR,,,,MM-1,NORTH,505,1985,10,21,,,,,,,,,,0,0,,,,
MIDNR_1985-9045,MICHIGAN,MIDNR,,,,MM-1,NORTH,505,1985,10,28,,,,,,,,,,0,0,,,,
MIDNR_1985-9046,MICHIGAN,MIDNR,,,,MM-1,NORTH,407,1985,9,30,,,,,,,,,,0,0,,,,
MIDNR_1985-9047,MICHIGAN,MIDNR,,,,MM-1,NORTH,407,1985,10,7,,,,,,,,,,0,0,,,,
MIDNR_1985-9048,MICHIGAN,MIDNR,,,,MM-1,NORTH,407,1985,10,16,,,,,,,,,,0,0,,,,
MIDNR_1985-9049,MICHIGAN,MIDNR,,,,MM-5,NORTH,813,1985,9,26,,,,,,,,,,0,0,,,,
MIDNR_1985-9050,MICHIGAN,MIDNR,,,,MM-5,NORTH,813,1985,9,16,,,,,,,,,,0,0,,,,
