date,maxTemp,minTemp,avgTemp,tempDept,relHum,dewPoint,wetBulbTemp,heatDays,coolDays,sunrise,sunset,weatherType,precip,snow,snowDepth,stnPressure,seaPressure,windSpeed,windPeakSpeed,windPeakDir,windSusSpeed,windSusDir
01-01,29,24,26,1.5,76,20,24,39,0,0809,1715,"SN,BR",0.04,0.7,1,29.14,30.11,15.5,31,250,24,260
01-02,35,28,32,7.7,71,22,28,33,0,0809,1716,"",0.00,0.0,1,29.02,29.97,14.6,30,230,23,230
01-03,33,25,29,4.8,66,20,27,36,0,0809,1717,"SN",T,T,1,29.03,30.04,10.0,30,290,23,290
01-04,27,7,17,-7.1,78,13,18,48,0,0809,1718,"SN,BR",T,0.2,1,29.40,30.45,7.7,21,040,17,030
01-05,29,8,18,-5.9,69,10,17,47,0,0809,1719,"",0.00,0.0,1,29.58,30.56,7.6,21,210,16,200
01-06,36,20,28,4.2,63,16,23,37,0,0809,1720,"",0.00,0.0,1,29.38,"",7.6,20,200,15,210
01-07,42,28,35,11.3,59,21,29,30,0,0809,1721,"",0.00,0.0,1,29.22,30.17,4.8,13,140,12,150
01-08,39,30,34,10.4,80,30,34,31,0,0809,1722,"RA,BR",0.15,0.0,T,28.97,29.90,6.7,15,160,12,160
01-09,42,38,40,16.5,96,40,41,25,0,0809,1723,"RA,FG,BR",0.53,0.0,T,28.84,29.77,7.3,17,220,13,220
01-10,38,16,27,3.5,78,18,23,38,0,0808,1724,"RA,SN,BR,UP,BLSN",0.18,1.0,T,28.71,29.71,17.8,42,300,31,320
01-11,16,10,13,-10.4,75,6,11,52,0,0808,1725,"SN,BR,BLSN",0.08,1.7,2,29.00,29.98,12.2,28,270,24,270
01-12,23,13,18,-5.3,75,11,16,47,0,0808,1726,"SN,FZFG,BR,UP,HZ,BLSN,FG",0.08,1.6,4,28.79,29.76,18.2,36,270,28,270
01-13,18,12,15,-8.3,76,8,12,50,0,0807,1727,"SN,BR,HZ",0.03,0.5,4,29.05,30.00,13.2,25,230,22,230
01-14,34,18,26,2.8,81,21,24,39,0,0807,1729,"SN,BR,HZ",T,T,5,28.80,29.76,5.6,22,230,17,230
01-15,42,22,32,8.8,85,33,35,33,0,0806,1730,"RA,FZFG,BR,FG",0.05,0.0,3,28.55,29.47,10.2,25,270,21,270
01-16,33,26,30,6.8,71,20,26,35,0,0806,1731,"SN",T,T,T,28.74,29.74,13.8,29,290,21,300
01-17,26,9,18,-5.1,70,5,11,47,0,0805,1732,"SN",T,T,T,28.94,29.94,15.5,31,280,24,270
01-18,15,7,11,-12.1,73,4,10,54,0,0805,1733,"SN,BR,UP",0.01,0.2,T,29.13,30.15,13.1,31,290,25,290
01-19,21,5,13,-10.1,71,6,12,52,0,0804,1735,"SN,HZ",T,T,T,29.40,30.42,7.6,19,270,14,270
01-20,22,12,17,-6.1,76,9,14,48,0,0804,1736,"SN,BR,HZ",T,T,T,29.32,30.30,4.4,11,240,8,280
01-21,26,12,19,-4.1,81,17,20,46,0,0803,1737,"SN,BR,HZ",0.01,0.1,T,29.35,30.35,5.5,17,260,13,250
01-22,29,18,24,0.9,76,17,22,41,0,0802,1738,"BR,HZ",T,T,T,29.31,30.29,6.2,17,040,15,050
01-23,26,17,22,-1.1,78,16,21,43,0,0801,1740,"SN,BR",T,0.1,T,29.21,30.18,6.3,20,030,15,040
01-24,32,15,24,0.9,74,19,24,41,0,0801,1741,"HZ",0.00,0.0,T,29.05,30.02,8.3,26,220,21,220
01-25,40,26,33,9.8,75,26,31,32,0,0800,1742,"RA,BR,UP,HZ",0.02,0.0,T,28.96,29.89,10.8,24,180,18,190
01-26,43,29,36,12.8,82,30,33,29,0,0759,1743,"RA,SN,BR,UP,HZ",0.10,1.4,0,28.87,29.86,18.2,36,250,30,240
01-27,29,24,26,2.7,76,21,25,39,0,0758,1745,"SN,BR",0.01,0.2,2,29.15,30.10,13.3,30,190,24,180
01-28,34,26,30,6.7,77,24,28,35,0,0757,1746,"SN,BR,UP,HZ",0.04,0.1,1,28.71,29.65,14.1,32,200,23,220
01-29,29,20,24,0.6,62,13,21,41,0,0756,1747,"SN",T,T,1,28.92,29.90,10.7,31,310,22,310
01-30,47,29,38,14.5,69,28,34,27,0,0755,1749,"",0.00,0.0,1,28.76,29.70,10.8,28,200,22,200
01-31,49,38,44,20.5,87,40,42,21,0,0754,1750,"RA,BR",0.12,0.0,0,28.67,29.61,10.0,26,280,21,260
02-01,44,25,34,10.4,75,30,"",31,0,0753,1751,"BR,UP,HZ",T,0.0,0,29.00,"",6.2,24,270,17,290
02-02,39,23,31,7.3,80,26,"",34,0,0752,1753,"RA,PL,FZFG,BR,UP,FG",0.43,T,0,29.11,"",8.5,34,090,25,100
02-03,44,31,38,14.2,85,34,"",27,0,0751,1754,"RA,SN,FG,BR",0.07,0.1,0,28.65,"",13.5,39,210,32,220
02-04,32,20,26,2.1,80,24,"",39,0,0750,1755,"FZRA,SN,BR,UP",0.12,2.2,1,29.15,"",7.9,20,260,17,270
02-05,35,18,26,1.9,72,22,"",39,0,0749,1757,"SN,BR",0.01,0.2,2,29.34,"",7.3,16,280,13,270
02-06,37,20,28,3.8,66,20,"",37,0,0748,1758,"BR,HZ",0.00,0.0,1,29.28,"",9.4,25,240,21,210
02-07,47,32,40,15.7,63,28,"",25,0,0746,1759,"",0.00,0.0,0,28.94,"",11.4,30,210,23,200
02-08,40,29,34,9.5,76,28,"",31,0,0745,1801,"SN",T,T,0,28.69,"",6.8,17,290,14,300
