"","date","eventData","avgTemp","tempDept","precipitation","humidity","barometer","dewPoint","avgWind","maxWind","windDirection","sunrise","sunset"
"1","01-01","SN,BR",26,1.5,0.04,76,29.14,20,15.5,31,250,809,1715
"2","01-02","",32,7.7,0,71,29.02,22,14.6,30,230,809,1716
"3","01-03","SN",29,4.8,0.005,66,29.03,20,10,30,290,809,1717
"4","01-04","SN,BR",17,-7.1,0.005,78,29.4,13,7.7,21,40,809,1718
"5","01-05","",18,-5.9,0,69,29.58,10,7.6,21,210,809,1719
"6","01-06","",28,4.2,0,63,29.38,16,7.6,20,200,809,1720
"7","01-07","",35,11.3,0,59,29.22,21,4.8,13,140,809,1721
"8","01-08","RA,BR",34,10.4,0.15,80,28.97,30,6.7,15,160,809,1722
"9","01-09","RA,FG,BR",40,16.5,0.53,96,28.84,40,7.3,17,220,809,1723
"10","01-10","RA,SN,BR,UP,BLSN",27,3.5,0.18,78,28.71,18,17.8,42,300,808,1724
"11","01-11","SN,BR,BLSN",13,-10.4,0.08,75,29,6,12.2,28,270,808,1725
"12","01-12","SN,FZFG,BR,UP,HZ,BLSN,FG",18,-5.3,0.08,75,28.79,11,18.2,36,270,808,1726
"13","01-13","SN,BR,HZ",15,-8.3,0.03,76,29.05,8,13.2,25,230,807,1727
"14","01-14","SN,BR,HZ",26,2.8,0.005,81,28.8,21,5.6,22,230,807,1729
"15","01-15","RA,FZFG,BR,FG",32,8.8,0.05,85,28.55,33,10.2,25,270,806,1730
"16","01-16","SN",30,6.8,0.005,71,28.74,20,13.8,29,290,806,1731
"17","01-17","SN",18,-5.1,0.005,70,28.94,5,15.5,31,280,805,1732
"18","01-18","SN,BR,UP",11,-12.1,0.01,73,29.13,4,13.1,31,290,805,1733
"19","01-19","SN,HZ",13,-10.1,0.005,71,29.4,6,7.6,19,270,804,1735
"20","01-20","SN,BR,HZ",17,-6.1,0.005,76,29.32,9,4.4,11,240,804,1736
"21","01-21","SN,BR,HZ",19,-4.1,0.01,81,29.35,17,5.5,17,260,803,1737
"22","01-22","BR,HZ",24,0.9,0.005,76,29.31,17,6.2,17,40,802,1738
"23","01-23","SN,BR",22,-1.1,0.005,78,29.21,16,6.3,20,30,801,1740
"24","01-24","HZ",24,0.9,0,74,29.05,19,8.3,26,220,801,1741
"25","01-25","RA,BR,UP,HZ",33,9.8,0.02,75,28.96,26,10.8,24,180,800,1742
"26","01-26","RA,SN,BR,UP,HZ",36,12.8,0.1,82,28.87,30,18.2,36,250,759,1743
"27","01-27","SN,BR",26,2.7,0.01,76,29.15,21,13.3,30,190,758,1745
"28","01-28","SN,BR,UP,HZ",30,6.7,0.04,77,28.71,24,14.1,32,200,757,1746
"29","01-29","SN",24,0.6,0.005,62,28.92,13,10.7,31,310,756,1747
"30","01-30","",38,14.5,0,69,28.76,28,10.8,28,200,755,1749
"31","01-31","RA,BR",44,20.5,0.12,87,28.67,40,10,26,280,754,1750
"32","02-01","BR,UP,HZ",34,10.4,0.005,75,29,30,6.2,24,270,753,1751
"33","02-02","RA,PL,FZFG,BR,UP,FG",31,7.3,0.43,80,29.11,26,8.5,34,90,752,1753
"34","02-03","RA,SN,FG,BR",38,14.2,0.07,85,28.65,34,13.5,39,210,751,1754
"35","02-04","FZRA,SN,BR,UP",26,2.1,0.12,80,29.15,24,7.9,20,260,750,1755
"36","02-05","SN,BR",26,1.9,0.01,72,29.34,22,7.3,16,280,749,1757
"37","02-06","BR,HZ",28,3.8,0,66,29.28,20,9.4,25,240,748,1758
"38","02-07","",40,15.7,0,63,28.94,28,11.4,30,210,746,1759
"39","02-08","SN",34,9.5,0.005,76,28.69,28,6.8,17,290,745,1801
"40","02-09","SN,BR",28,3.4,0.07,80,28.69,24,12.9,27,300,744,1802
"41","02-10","SN,HZ",16,-8.8,0.01,65,28.9,9,13.8,28,290,743,1803
"42","02-11","",16,-9,0,62,29.21,5,8.9,24,300,741,1805
"43","02-12","SN,UP",14,-11.1,0.02,70,29.13,9,14.5,33,310,740,1806
"44","02-13","",8,-17.3,0.005,65,29.44,-2,9.5,29,300,739,1807
"45","02-14","SN",9,-16.5,0.005,70,29.41,1,8.1,24,130,737,1809
"46","02-15","SN,BR",20,-5.7,0.02,83,29.02,16,6.9,19,130,736,1810
"47","02-16","SN,BR,HZ",27,1.1,0.06,84,28.87,23,3.8,13,290,734,1811
"48","02-17","SN,BR",20,-6.2,0.005,69,29.16,18,5.9,19,300,733,1812
"49","02-18","",19,-7.4,0,68,29.44,13,10.7,30,140,732,1814
"50","02-19","",46,19.4,0.005,60,28.82,33,24.6,61,230,730,1815
"51","02-20","",46,19.1,0,54,28.84,31,15.8,40,260,729,1816
"52","02-21","",36,8.9,0,75,29.1,30,6.3,19,40,727,1818
"53","02-22","",34,6.6,0,70,29.23,23,8,21,130,726,1819
"54","02-23","",34,6.3,0,60,29.2,20,6.5,15,110,724,1820
"55","02-24","SN,FG,FZFG,BR",30,2.1,0.65,85,28.73,27,18.9,35,10,723,1821
"56","02-25","SN,BR,UP",29,0.8,0.12,81,28.74,24,16.5,33,310,721,1823
"57","02-26","",25,-3.5,0,64,29.19,16,8.8,21,270,719,1824
"58","02-27","",34,5.2,0,63,28.98,24,15.4,31,240,718,1825
