"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t"
"1","2022-01-01T00:00:00","AWND","GHCND:USW00014836",51,"","","W",""
"2","2022-01-01T00:00:00","PRCP","GHCND:USW00014836",48,"","","W","2400"
"3","2022-01-01T00:00:00","SNOW","GHCND:USW00014836",46,"","","W",""
"4","2022-01-01T00:00:00","TAVG","GHCND:USW00014836",8,"H","","S",""
"5","2022-01-01T00:00:00","TMAX","GHCND:USW00014836",22,"","","W","2400"
"6","2022-01-01T00:00:00","TMIN","GHCND:USW00014836",-71,"","","W","2400"
"7","2022-01-01T00:00:00","WDF2","GHCND:USW00014836",20,"","","W",""
"8","2022-01-01T00:00:00","WSF2","GHCND:USW00014836",89,"","","W",""
"9","2022-01-01T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"10","2022-01-02T00:00:00","AWND","GHCND:USW00014836",31,"","","W",""
"11","2022-01-02T00:00:00","PRCP","GHCND:USW00014836",23,"","","W","2400"
"12","2022-01-02T00:00:00","SNOW","GHCND:USW00014836",66,"","","W",""
"13","2022-01-02T00:00:00","TAVG","GHCND:USW00014836",-68,"H","","S",""
"14","2022-01-02T00:00:00","TMAX","GHCND:USW00014836",-55,"","","W","2400"
"15","2022-01-02T00:00:00","TMIN","GHCND:USW00014836",-138,"","","W","2400"
"16","2022-01-02T00:00:00","WDF2","GHCND:USW00014836",350,"","","W",""
"17","2022-01-02T00:00:00","WSF2","GHCND:USW00014836",67,"","","W",""
"18","2022-01-02T00:00:00","WT01","GHCND:USW00014836",1,"","","W",""
"19","2022-01-03T00:00:00","AWND","GHCND:USW00014836",32,"","","W",""
"20","2022-01-03T00:00:00","PRCP","GHCND:USW00014836",0,"","","W","2400"
"21","2022-01-03T00:00:00","SNOW","GHCND:USW00014836",0,"","","W",""
"22","2022-01-03T00:00:00","TAVG","GHCND:USW00014836",-92,"H","","S",""
"23","2022-01-03T00:00:00","TMAX","GHCND:USW00014836",-21,"","","W","2400"
"24","2022-01-03T00:00:00","TMIN","GHCND:USW00014836",-143,"","","W","2400"
