"","X","date","maxTemp","minTemp","avgTemp","tempDept","relHum","dewPoint","wetBulbTemp","heatDays","coolDays","sunrise","sunset","weatherType","precip","snow","snowDepth","stnPressure","seaPressure","windSpeed","windPeakSpeed","windPeakDir","windSusSpeed","windSusDir","dateYr","season","windSpeedLevel","windDir","changeMaxTemp"
"1",1," 01-01",29,24,26,1.5,76,20,24,39,0,809,1715,"SN,BR","0.04","0.7","1",29.14,30.11,15.5,31,250,24,260,"2016-01-01","Winter","High","West",NA
"2",2," 01-02",35,28,32,7.7,71,22,28,33,0,809,1716,"","0.00","0.0","1",29.02,29.97,14.6,30,230,23,230,"2016-01-02","Winter","High","West",6
"3",3," 01-03",33,25,29,4.8,66,20,27,36,0,809,1717,"SN","T","T","1",29.03,30.04,10,30,290,23,290,"2016-01-03","Winter","Medium","West",-2
"4",4," 01-04",27,7,17,-7.1,78,13,18,48,0,809,1718,"SN,BR","T","0.2","1",29.4,30.45,7.7,21,40,17,30,"2016-01-04","Winter","Medium","North",-6
"5",5," 01-05",29,8,18,-5.9,69,10,17,47,0,809,1719,"","0.00","0.0","1",29.58,30.56,7.6,21,210,16,200,"2016-01-05","Winter","Medium","South",2
"6",6," 01-06",36,20,28,4.2,63,16,23,37,0,809,1720,"","0.00","0.0","1",29.38,NA,7.6,20,200,15,210,"2016-01-06","Winter","Medium","South",7
"7",7," 01-07",42,28,35,11.3,59,21,29,30,0,809,1721,"","0.00","0.0","1",29.22,30.17,4.8,13,140,12,150,"2016-01-07","Winter","Low","South",6
"8",8," 01-08",39,30,34,10.4,80,30,34,31,0,809,1722,"RA,BR","0.15","0.0","T",28.97,29.9,6.7,15,160,12,160,"2016-01-08","Winter","Medium","South",-3
"9",9," 01-09",42,38,40,16.5,96,40,41,25,0,809,1723,"RA,FG,BR","0.53","0.0","T",28.84,29.77,7.3,17,220,13,220,"2016-01-09","Winter","Medium","South",3
"10",10," 01-10",38,16,27,3.5,78,18,23,38,0,808,1724,"RA,SN,BR,UP,BLSN","0.18","1.0","T",28.71,29.71,17.8,42,300,31,320,"2016-01-10","Winter","High","North",-4
"11",11," 01-11",16,10,13,-10.4,75,6,11,52,0,808,1725,"SN,BR,BLSN","0.08","1.7","2",29,29.98,12.2,28,270,24,270,"2016-01-11","Winter","High","West",-22
"12",12," 01-12",23,13,18,-5.3,75,11,16,47,0,808,1726,"SN,FZFG,BR,UP,HZ,BLSN,FG","0.08","1.6","4",28.79,29.76,18.2,36,270,28,270,"2016-01-12","Winter","High","West",7
"13",13," 01-13",18,12,15,-8.3,76,8,12,50,0,807,1727,"SN,BR,HZ","0.03","0.5","4",29.05,30,13.2,25,230,22,230,"2016-01-13","Winter","High","West",-5
"14",14," 01-14",34,18,26,2.8,81,21,24,39,0,807,1729,"SN,BR,HZ","T","T","5",28.8,29.76,5.6,22,230,17,230,"2016-01-14","Winter","Low","West",16
"15",15," 01-15",42,22,32,8.8,85,33,35,33,0,806,1730,"RA,FZFG,BR,FG","0.05","0.0","3",28.55,29.47,10.2,25,270,21,270,"2016-01-15","Winter","High","West",8
"16",16," 01-16",33,26,30,6.8,71,20,26,35,0,806,1731,"SN","T","T","T",28.74,29.74,13.8,29,290,21,300,"2016-01-16","Winter","High","West",-9
"17",17," 01-17",26,9,18,-5.1,70,5,11,47,0,805,1732,"SN","T","T","T",28.94,29.94,15.5,31,280,24,270,"2016-01-17","Winter","High","West",-7
"18",18," 01-18",15,7,11,-12.1,73,4,10,54,0,805,1733,"SN,BR,UP","0.01","0.2","T",29.13,30.15,13.1,31,290,25,290,"2016-01-18","Winter","High","West",-11
"19",19," 01-19",21,5,13,-10.1,71,6,12,52,0,804,1735,"SN,HZ","T","T","T",29.4,30.42,7.6,19,270,14,270,"2016-01-19","Winter","Medium","West",6
"20",20," 01-20",22,12,17,-6.1,76,9,14,48,0,804,1736,"SN,BR,HZ","T","T","T",29.32,30.3,4.4,11,240,8,280,"2016-01-20","Winter","Low","West",1
"21",21," 01-21",26,12,19,-4.1,81,17,20,46,0,803,1737,"SN,BR,HZ","0.01","0.1","T",29.35,30.35,5.5,17,260,13,250,"2016-01-21","Winter","Low","West",4
"22",22," 01-22",29,18,24,0.9,76,17,22,41,0,802,1738,"BR,HZ","T","T","T",29.31,30.29,6.2,17,40,15,50,"2016-01-22","Winter","Low","East",3
"23",23," 01-23",26,17,22,-1.1,78,16,21,43,0,801,1740,"SN,BR","T","0.1","T",29.21,30.18,6.3,20,30,15,40,"2016-01-23","Winter","Low","North",-3
"24",24," 01-24",32,15,24,0.9,74,19,24,41,0,801,1741,"HZ","0.00","0.0","T",29.05,30.02,8.3,26,220,21,220,"2016-01-24","Winter","Medium","South",6
"25",25," 01-25",40,26,33,9.8,75,26,31,32,0,800,1742,"RA,BR,UP,HZ","0.02","0.0","T",28.96,29.89,10.8,24,180,18,190,"2016-01-25","Winter","High","South",8
"26",26," 01-26",43,29,36,12.8,82,30,33,29,0,759,1743,"RA,SN,BR,UP,HZ","0.10","1.4","0",28.87,29.86,18.2,36,250,30,240,"2016-01-26","Winter","High","West",3
"27",27," 01-27",29,24,26,2.7,76,21,25,39,0,758,1745,"SN,BR","0.01","0.2","2",29.15,30.1,13.3,30,190,24,180,"2016-01-27","Winter","High","South",-14
"28",28," 01-28",34,26,30,6.7,77,24,28,35,0,757,1746,"SN,BR,UP,HZ","0.04","0.1","1",28.71,29.65,14.1,32,200,23,220,"2016-01-28","Winter","High","South",5
"29",29," 01-29",29,20,24,0.6,62,13,21,41,0,756,1747,"SN","T","T","1",28.92,29.9,10.7,31,310,22,310,"2016-01-29","Winter","High","West",-5
"30",30," 01-30",47,29,38,14.5,69,28,34,27,0,755,1749,"","0.00","0.0","1",28.76,29.7,10.8,28,200,22,200,"2016-01-30","Winter","High","South",18
"31",31," 01-31",49,38,44,20.5,87,40,42,21,0,754,1750,"RA,BR","0.12","0.0","0",28.67,29.61,10,26,280,21,260,"2016-01-31","Winter","Medium","West",2
"32",32," 02-01",44,25,34,10.4,75,30,NA,31,0,753,1751,"BR,UP,HZ","T","0.0","0",29,NA,6.2,24,270,17,290,"2016-02-01","Winter","Low","West",-5
"33",33," 02-02",39,23,31,7.3,80,26,NA,34,0,752,1753,"RA,PL,FZFG,BR,UP,FG","0.43","T","0",29.11,NA,8.5,34,90,25,100,"2016-02-02","Winter","Medium","East",-5
