"","dateTime","maxTemp","minTemp","avgTemp","tempDept"
"107","2016-04-16T00:00:00",76,40,58,10.3
"108","2016-04-17T00:00:00",78,41,60,11.9
"109","2016-04-18T00:00:00",81,50,66,17.5
"116","2016-04-25T00:00:00",79,46,62,11
"127","2016-05-06T00:00:00",72,41,56,1.5
"128","2016-05-07T00:00:00",72,47,60,5.1
"133","2016-05-12T00:00:00",73,56,64,7.6
"140","2016-05-19T00:00:00",71,40,56,-2.7
"142","2016-05-21T00:00:00",74,51,62,2.7
"144","2016-05-23T00:00:00",78,42,60,0
"145","2016-05-24T00:00:00",84,49,66,5.7
"146","2016-05-25T00:00:00",85,64,74,13.3
"147","2016-05-26T00:00:00",84,63,74,13
"148","2016-05-27T00:00:00",85,63,74,12.7
"149","2016-05-28T00:00:00",86,67,76,14.3
"150","2016-05-29T00:00:00",84,64,74,12
"151","2016-05-30T00:00:00",83,60,72,9.6
"152","2016-05-31T00:00:00",83,53,68,5.3
"153","2016-06-01T00:00:00",80,59,70,6.9
"154","2016-06-02T00:00:00",80,57,68,4.6
"155","2016-06-03T00:00:00",81,51,66,2.2
"156","2016-06-04T00:00:00",83,57,70,5.9
"158","2016-06-06T00:00:00",80,55,68,3.2
"161","2016-06-09T00:00:00",71,44,58,-7.8
"162","2016-06-10T00:00:00",86,54,70,3.8
"163","2016-06-11T00:00:00",91,71,81,14.5
"164","2016-06-12T00:00:00",81,56,68,1.2
"165","2016-06-13T00:00:00",72,50,61,-6.1
"166","2016-06-14T00:00:00",76,60,68,0.6
"167","2016-06-15T00:00:00",87,62,74,6.3
"168","2016-06-16T00:00:00",71,62,66,-2
"169","2016-06-17T00:00:00",87,53,70,1.7
"170","2016-06-18T00:00:00",90,56,73,4.5
"171","2016-06-19T00:00:00",91,61,76,7.2
"172","2016-06-20T00:00:00",90,65,78,8.9
"173","2016-06-21T00:00:00",81,53,67,-2.3
"174","2016-06-22T00:00:00",84,54,69,-0.5
"175","2016-06-23T00:00:00",78,59,68,-1.8
"176","2016-06-24T00:00:00",85,53,69,-1
"177","2016-06-25T00:00:00",89,60,74,3.8
"178","2016-06-26T00:00:00",87,70,78,7.7
