"dateYear","maxTemp","minTemp","avgTemp","tempDept","heatDays","coolDays","relHum","dewPoint","wetBulbTemp","sunrise","sunset","weatherType","precip","snow","snowDepth","stnPressure","seaPressure","windSpeed","windPeakSpeed","windPeakDir","windSusSpeed","windSusDir"
"01-01-2016",29,24,26,1.5,39,0,76,20,24,809,1715,"SN,BR","0.04","0.7","1",29.14,30.11,15.5,31,250,24,260
"01-02-2016",35,28,32,7.7,33,0,71,22,28,809,1716,"","0.00","0.0","1",29.02,29.97,14.6,30,230,23,230
"01-03-2016",33,25,29,4.8,36,0,66,20,27,809,1717,"SN","T","T","1",29.03,30.04,10,30,290,23,290
"01-04-2016",27,7,17,-7.1,48,0,78,13,18,809,1718,"SN,BR","T","0.2","1",29.4,30.45,7.7,21,40,17,30
"01-05-2016",29,8,18,-5.9,47,0,69,10,17,809,1719,"","0.00","0.0","1",29.58,30.56,7.6,21,210,16,200
"01-06-2016",36,20,28,4.2,37,0,63,16,23,809,1720,"","0.00","0.0","1",29.38,NA,7.6,20,200,15,210
"01-07-2016",42,28,35,11.3,30,0,59,21,29,809,1721,"","0.00","0.0","1",29.22,30.17,4.8,13,140,12,150
"01-08-2016",39,30,34,10.4,31,0,80,30,34,809,1722,"RA,BR","0.15","0.0","T",28.97,29.9,6.7,15,160,12,160
"01-09-2016",42,38,40,16.5,25,0,96,40,41,809,1723,"RA,FG,BR","0.53","0.0","T",28.84,29.77,7.3,17,220,13,220
"01-10-2016",38,16,27,3.5,38,0,78,18,23,808,1724,"RA,SN,BR,UP,BLSN","0.18","1.0","T",28.71,29.71,17.8,42,300,31,320
"01-11-2016",16,10,13,-10.4,52,0,75,6,11,808,1725,"SN,BR,BLSN","0.08","1.7","2",29,29.98,12.2,28,270,24,270
"01-12-2016",23,13,18,-5.3,47,0,75,11,16,808,1726,"SN,FZFG,BR,UP,HZ,BLSN,FG","0.08","1.6","4",28.79,29.76,18.2,36,270,28,270
"01-13-2016",18,12,15,-8.3,50,0,76,8,12,807,1727,"SN,BR,HZ","0.03","0.5","4",29.05,30,13.2,25,230,22,230
"01-14-2016",34,18,26,2.8,39,0,81,21,24,807,1729,"SN,BR,HZ","T","T","5",28.8,29.76,5.6,22,230,17,230
"01-15-2016",42,22,32,8.8,33,0,85,33,35,806,1730,"RA,FZFG,BR,FG","0.05","0.0","3",28.55,29.47,10.2,25,270,21,270
"01-16-2016",33,26,30,6.8,35,0,71,20,26,806,1731,"SN","T","T","T",28.74,29.74,13.8,29,290,21,300
"01-17-2016",26,9,18,-5.1,47,0,70,5,11,805,1732,"SN","T","T","T",28.94,29.94,15.5,31,280,24,270
"01-18-2016",15,7,11,-12.1,54,0,73,4,10,805,1733,"SN,BR,UP","0.01","0.2","T",29.13,30.15,13.1,31,290,25,290
"01-19-2016",21,5,13,-10.1,52,0,71,6,12,804,1735,"SN,HZ","T","T","T",29.4,30.42,7.6,19,270,14,270
"01-20-2016",22,12,17,-6.1,48,0,76,9,14,804,1736,"SN,BR,HZ","T","T","T",29.32,30.3,4.4,11,240,8,280
"01-21-2016",26,12,19,-4.1,46,0,81,17,20,803,1737,"SN,BR,HZ","0.01","0.1","T",29.35,30.35,5.5,17,260,13,250
"01-22-2016",29,18,24,0.9,41,0,76,17,22,802,1738,"BR,HZ","T","T","T",29.31,30.29,6.2,17,40,15,50
"01-23-2016",26,17,22,-1.1,43,0,78,16,21,801,1740,"SN,BR","T","0.1","T",29.21,30.18,6.3,20,30,15,40
"01-24-2016",32,15,24,0.9,41,0,74,19,24,801,1741,"HZ","0.00","0.0","T",29.05,30.02,8.3,26,220,21,220
"01-25-2016",40,26,33,9.8,32,0,75,26,31,800,1742,"RA,BR,UP,HZ","0.02","0.0","T",28.96,29.89,10.8,24,180,18,190
"01-26-2016",43,29,36,12.8,29,0,82,30,33,759,1743,"RA,SN,BR,UP,HZ","0.10","1.4","0",28.87,29.86,18.2,36,250,30,240
"01-27-2016",29,24,26,2.7,39,0,76,21,25,758,1745,"SN,BR","0.01","0.2","2",29.15,30.1,13.3,30,190,24,180
"01-28-2016",34,26,30,6.7,35,0,77,24,28,757,1746,"SN,BR,UP,HZ","0.04","0.1","1",28.71,29.65,14.1,32,200,23,220
"01-29-2016",29,20,24,0.6,41,0,62,13,21,756,1747,"SN","T","T","1",28.92,29.9,10.7,31,310,22,310
"01-30-2016",47,29,38,14.5,27,0,69,28,34,755,1749,"","0.00","0.0","1",28.76,29.7,10.8,28,200,22,200
"01-31-2016",49,38,44,20.5,21,0,87,40,42,754,1750,"RA,BR","0.12","0.0","0",28.67,29.61,10,26,280,21,260
"02-01-2016",44,25,34,10.4,31,0,75,30,NA,753,1751,"BR,UP,HZ","T","0.0","0",29,NA,6.2,24,270,17,290
"02-02-2016",39,23,31,7.3,34,0,80,26,NA,752,1753,"RA,PL,FZFG,BR,UP,FG","0.43","T","0",29.11,NA,8.5,34,90,25,100
"02-03-2016",44,31,38,14.2,27,0,85,34,NA,751,1754,"RA,SN,FG,BR","0.07","0.1","0",28.65,NA,13.5,39,210,32,220
"02-04-2016",32,20,26,2.1,39,0,80,24,NA,750,1755,"FZRA,SN,BR,UP","0.12","2.2","1",29.15,NA,7.9,20,260,17,270
"02-05-2016",35,18,26,1.9,39,0,72,22,NA,749,1757,"SN,BR","0.01","0.2","2",29.34,NA,7.3,16,280,13,270
"02-06-2016",37,20,28,3.8,37,0,66,20,NA,748,1758,"BR,HZ","0.00","0.0","1",29.28,NA,9.4,25,240,21,210
"02-07-2016",47,32,40,15.7,25,0,63,28,NA,746,1759,"","0.00","0.0","0",28.94,NA,11.4,30,210,23,200
"02-08-2016",40,29,34,9.5,31,0,76,28,NA,745,1801,"SN","T","T","0",28.69,NA,6.8,17,290,14,300
"02-09-2016",33,22,28,3.4,37,0,80,24,NA,744,1802,"SN,BR","0.07","0.8","1",28.69,NA,12.9,27,300,20,290
"02-10-2016",22,11,16,-8.8,49,0,65,9,NA,743,1803,"SN,HZ","0.01","0.2","1",28.9,NA,13.8,28,290,24,300
"02-11-2016",23,10,16,-9,49,0,62,5,NA,741,1805,"","0.00","T","1",29.21,NA,8.9,24,300,18,310
"02-12-2016",22,6,14,-11.1,51,0,70,9,NA,740,1806,"SN,UP","0.02","0.4","1",29.13,NA,14.5,33,310,25,310
"02-13-2016",15,2,8,-17.3,57,0,65,-2,NA,739,1807,"","T","T","2",29.44,NA,9.5,29,300,22,300
"02-14-2016",18,0,9,-16.5,56,0,70,1,NA,737,1809,"SN","T","T","2",29.41,NA,8.1,24,130,18,140
"02-15-2016",26,15,20,-5.7,45,0,83,16,NA,736,1810,"SN,BR","0.02","0.2","2",29.02,NA,6.9,19,130,15,130
"02-16-2016",29,25,27,1.1,38,0,84,23,NA,734,1811,"SN,BR,HZ","0.06","1.2","2",28.87,NA,3.8,13,290,12,290
"02-17-2016",30,11,20,-6.2,45,0,69,18,NA,733,1812,"SN,BR","T","T","3",29.16,NA,5.9,19,300,16,320
"02-18-2016",34,4,19,-7.4,46,0,68,13,NA,732,1814,"","0.00","0.0","2",29.44,NA,10.7,30,140,22,160
"02-19-2016",60,33,46,19.4,19,0,60,33,NA,730,1815,"","T","T","1",28.82,NA,24.6,61,230,47,240
"02-20-2016",54,38,46,19.1,19,0,54,31,NA,729,1816,"","0.00","0.0","0",28.84,NA,15.8,40,260,31,250
"02-21-2016",41,32,36,8.9,29,0,75,30,NA,727,1818,"","0.00","0.0","0",29.1,NA,6.3,19,40,15,30
"02-22-2016",40,29,34,6.6,31,0,70,23,NA,726,1819,"","0.00","0.0","0",29.23,NA,8,21,130,17,130
"02-23-2016",45,22,34,6.3,31,0,60,20,NA,724,1820,"","0.00","0.0","0",29.2,NA,6.5,15,110,13,100
"02-24-2016",32,28,30,2.1,35,0,85,27,NA,723,1821,"SN,FG,FZFG,BR","0.65","7.0","0",28.73,NA,18.9,35,10,29,10
"02-25-2016",34,24,29,0.8,36,0,81,24,NA,721,1823,"SN,BR,UP","0.12","3.4","10",28.74,NA,16.5,33,310,25,310
"02-26-2016",32,18,25,-3.5,40,0,64,16,NA,719,1824,"","0.00","T","8",29.19,NA,8.8,21,270,17,270
"02-27-2016",44,25,34,5.2,31,0,63,24,NA,718,1825,"","0.00","0.0","8",28.98,NA,15.4,31,240,26,230
"02-28-2016",56,36,46,16.9,19,0,74,38,NA,716,1826,"RA,BR","0.13","0.0","6",28.66,NA,16.8,35,230,26,220
"02-29-2016",44,24,34,4.7,31,0,66,23,NA,715,1828,"SN,BR,UP","T","T","T",28.85,NA,16.2,46,270,36,260
"03-01-2016",24,19,22,-7.4,43,0,84,17,20,713,1829,"SN,FZFG,BR,FG,PL","0.59","7.2","2",28.94,29.9,13.1,35,330,24,330
"03-02-2016",27,11,19,-10.8,46,0,65,9,17,711,1830,"SN,BR","T","T","7",29.11,30.12,9.7,24,260,20,260
"03-03-2016",28,9,18,-12.1,47,0,78,14,19,710,1831,"SN,BR","0.04","0.7","7",29.18,30.16,3.7,12,40,10,30
"03-04-2016",34,5,20,-10.4,45,0,62,11,19,708,1833,"SN,FZFG,BR,FG","T","T","7",29.21,30.2,2.2,13,200,9,280
"03-05-2016",33,24,28,-2.8,37,0,84,24,27,706,1834,"SN,FZFG,BR,HZ,FG","0.09","1.0","8",29.16,30.15,5.4,13,140,10,140
"03-06-2016",41,14,28,-3.1,37,0,80,23,27,705,1835,"FZFG,BR,HZ,FG","0.00","0.0","8",29.25,30.19,8.2,25,190,21,190
"03-07-2016",58,41,50,18.5,15,0,65,37,43,703,1836,"","0.00","0.0","7",29,29.95,10.9,27,210,22,210
"03-08-2016",70,49,60,28.2,5,0,61,46,52,701,1837,"","0.00","0.0","T",29,29.94,12,32,210,25,210
"03-09-2016",68,56,62,29.8,3,0,72,52,56,659,1839,"RA","T","0.0","0",28.97,29.9,11,33,220,26,220
"03-10-2016",57,41,49,16.4,16,0,81,44,47,658,1840,"RA,BR","T","0.0","0",29.08,30.04,6.5,19,310,15,310
"03-11-2016",55,31,43,10.1,22,0,68,32,38,656,1841,"","0.00","0.0","0",29.36,30.34,4.1,18,170,14,170
"03-12-2016",59,29,44,10.7,21,0,71,36,41,654,1842,"FG,BR","0.00","0.0","0",29.24,30.17,2.5,13,180,10,190
"03-13-2016",49,44,46,12.3,19,0,85,41,44,653,1843,"RA,BR","1.01","0.0","0",28.99,29.9,9.2,23,110,17,110
"03-14-2016",52,45,48,13.9,17,0,89,46,48,651,1845,"RA,BR","0.04","0.0","0",28.74,29.7,7.3,17,250,14,270
"03-15-2016",57,41,49,14.5,16,0,81,43,45,649,1846,"RA,FG,BR","0.04","0.0","0",28.86,29.79,8.1,26,190,21,90
"03-16-2016",56,46,51,16.1,14,0,63,37,44,647,1847,"RA,BR","0.08","0.0","0",28.64,29.57,21.6,56,250,41,240
"03-17-2016",50,33,42,6.7,23,0,53,28,37,646,1848,"RA","T","0.0","0",28.83,29.79,15.9,43,270,33,260
"03-18-2016",48,29,38,2.3,27,0,73,28,33,644,1849,"","0.00","T","0",29.05,30.05,5.5,18,40,14,30
"03-19-2016",40,25,32,-4.1,33,0,61,20,28,642,1850,"","0.00","0.0","0",29.24,30.22,9.2,23,30,16,40
"03-20-2016",43,22,32,-4.5,33,0,57,18,27,640,1852,"","0.00","0.0","0",29.19,30.15,7.1,19,280,15,270
"03-21-2016",45,27,36,-0.9,29,0,51,18,30,639,1853,"","0.00","0.0","0",29.15,30.11,7.8,23,290,17,270
"03-22-2016",60,33,46,8.6,19,0,54,30,39,637,1854,"RA","T","0.0","0",28.92,29.83,7.7,26,220,21,230
"03-23-2016",47,33,40,2.2,25,0,88,33,35,635,1855,"RA,BR,UP","0.14","0.0","0",28.97,29.94,12.9,26,40,21,60
"03-24-2016",39,29,34,-4.2,31,0,93,33,34,633,1856,"RA,SN,BR,UP","0.64","T","0",28.71,29.64,10.2,23,350,18,330
"03-25-2016",44,26,35,-3.6,30,0,71,25,30,632,1857,"","0.00","T","0",29.03,30.05,6.5,22,320,16,320
"03-26-2016",52,26,39,-0.1,26,0,68,29,35,630,1859,"BR","0.00","0.0","0",29.26,30.23,7.5,17,150,14,150
"03-27-2016",70,34,52,12.5,13,0,62,37,44,628,1900,"RA","0.06","0.0","0",29.04,29.94,10,28,200,21,290
"03-28-2016",46,34,40,0.1,25,0,81,36,39,626,1901,"RA,BR","0.29","0.0","0",28.94,29.94,12.3,32,290,23,310
"03-29-2016",51,29,40,-0.3,25,0,59,25,34,624,1902,"","0.00","0.0","0",29.32,30.29,4.7,14,20,10,140
"03-30-2016",61,35,48,7.2,17,0,59,34,43,623,1903,"RA","0.06","0.0","0",29.04,29.92,13.5,34,190,25,190
"03-31-2016",63,43,53,11.8,12,0,85,51,53,621,1904,"TS,RA,BR","1.17","0.0","0",28.51,29.42,17.3,43,190,32,190
"04-01-2016",49,34,42,0.4,23,0,67,31,37,619,1905,"RA,BR","0.01","0.0","0",28.71,29.67,12.6,27,250,22,290
"04-02-2016",38,25,32,-10,33,0,75,25,29,618,1907,"SN,FG,FZFG,BR,UP,HZ","0.16","1.7","T",28.68,29.65,10.4,36,340,24,340
"04-03-2016",52,20,36,-6.5,29,0,69,24,30,616,1908,"RA,SN","0.04","T","1",28.92,29.86,10.9,27,180,21,190
"04-04-2016",33,24,28,-14.9,37,0,75,22,27,614,1909,"SN,BR,HZ","T","T","0",29.07,30.11,11.6,28,340,22,30
"04-05-2016",42,19,30,-13.3,35,0,56,16,26,612,1910,"HZ","0.01","T","0",29.44,30.4,6.8,29,130,22,130
"04-06-2016",47,32,40,-3.7,25,0,78,33,37,611,1911,"RA,BR,HZ","0.06","T","0",28.79,29.68,12.6,28,150,22,150
"04-07-2016",39,31,35,-9.2,30,0,84,30,33,609,1912,"RA,SN,FG,BR","0.18","0.2","0",28.59,29.57,10.7,29,320,22,310
"04-08-2016",40,26,33,-11.6,32,0,74,24,29,607,1913,"SN,FG,BR,HZ","0.25","4.7","0",28.82,29.78,7.9,27,40,22,40
"04-09-2016",32,23,28,-17,37,0,58,14,23,606,1915,"SN,FZFG,BR,UP,FG","0.02","0.2","4",29.13,30.15,9.4,29,20,21,20
"04-10-2016",41,27,34,-11.4,31,0,80,26,30,604,1916,"RA,FZRA,SN,BR,HZ","0.57","0.7","T",29.08,30,13.8,31,160,25,160
"04-11-2016",53,34,44,-1.8,21,0,70,35,41,602,1917,"RA,BR,HZ","0.03","0.0","0",28.88,29.86,13.1,37,300,29,290
"04-12-2016",47,30,38,-8.2,27,0,57,24,33,601,1918,"","0.00","0.0","0",29.3,30.3,7.1,22,320,17,350
"04-13-2016",53,29,41,-5.6,24,0,55,27,36,559,1919,"","0.00","0.0","0",29.41,30.38,6.9,18,150,15,140
"04-14-2016",60,31,46,-1,19,0,51,28,38,557,1920,"","0.00","0.0","0",29.38,30.34,6.5,19,100,15,90
"04-15-2016",70,33,52,4.6,13,0,47,31,43,556,1921,"","0.00","0.0","0",29.34,30.3,5.6,20,120,15,140
"04-16-2016",76,40,58,10.3,7,0,40,34,48,554,1923,"","0.00","0.0","0",29.41,30.36,6.1,19,160,13,120
"04-17-2016",78,41,60,11.9,5,0,41,36,50,552,1924,"","0.00","0.0","0",29.46,30.4,2.9,12,110,9,110
"04-18-2016",81,50,66,17.5,0,1,43,42,53,551,1925,"","0.00","0.0","0",29.35,30.28,7.1,25,50,18,50
"04-19-2016",62,43,52,3.1,13,0,62,37,44,549,1926,"RA","0.01","0.0","0",29.34,30.3,10,25,40,18,50
"04-20-2016",68,45,56,6.8,9,0,38,30,45,548,1927,"","T","0.0","0",29.25,30.17,10,25,140,20,130
"04-21-2016",62,48,55,5.4,10,0,85,50,52,546,1928,"RA,BR","0.25","0.0","0",28.96,29.87,6.9,22,200,16,200
"04-22-2016",57,41,49,-0.9,16,0,86,48,50,545,1929,"RA,FG,BR","T","0.0","0",29.01,29.98,8.2,18,20,15,40
"04-23-2016",58,34,46,-4.3,19,0,56,31,40,543,1931,"","0.00","0.0","0",29.23,30.18,5.7,20,40,13,40
"04-24-2016",68,40,54,3.4,11,0,46,33,45,542,1932,"","0.00","0.0","0",29.12,30.04,8.1,20,130,15,140
"04-25-2016",79,46,62,11,3,0,55,43,51,540,1933,"TS,RA,BR","0.20","0.0","0",28.89,29.79,10.4,37,310,28,310
"04-26-2016",51,36,44,-7.3,21,0,88,40,41,539,1934,"TS,RA,FG,BR","0.02","0.0","0",28.9,29.86,9.5,24,40,18,60
"04-27-2016",60,33,46,-5.7,19,0,51,29,39,537,1935,"","0.00","0.0","0",29.04,29.99,10.1,27,60,21,70
"04-28-2016",47,38,42,-10,23,0,70,31,38,536,1936,"RA,BR","0.31","0.0","0",29.05,30,9.2,20,80,15,70
"04-29-2016",51,40,46,-6.3,19,0,75,37,41,534,1937,"RA","0.02","0.0","0",29.15,30.11,6.1,17,50,14,40
"04-30-2016",56,36,46,-6.6,19,0,73,38,43,533,1939,"RA,BR","0.43","0.0","0",29.17,30.1,8.1,24,120,16,50
"05-01-2016",51,43,47,-6,18,0,90,43,45,532,1940,"RA,BR","0.06","0.0","0",29.05,30,10.3,22,70,17,70
"05-02-2016",55,42,48,-5.3,17,0,80,41,45,530,1941,"RA,BR","0.37","0.0","0",29.08,30.03,6.1,21,30,16,20
"05-03-2016",66,36,51,-2.6,14,0,55,37,46,529,1942,"RA,BR","0.02","0.0","0",28.95,29.87,6.8,22,240,18,250
"05-04-2016",54,47,50,-3.9,15,0,83,45,48,528,1943,"TS,RA,BR","0.43","0.0","0",28.68,29.62,9.6,27,60,20,50
"05-05-2016",67,45,56,1.8,9,0,70,44,49,526,1944,"","0.00","0.0","0",28.94,29.89,8.2,24,30,17,30
"05-06-2016",72,41,56,1.5,9,0,55,40,49,525,1945,"","0.00","0.0","0",28.98,29.9,2.5,14,250,10,240
"05-07-2016",72,47,60,5.1,5,0,50,41,51,524,1946,"","T","0.0","0",28.77,29.7,8.8,28,330,21,330
"05-08-2016",67,37,52,-3.2,13,0,42,31,44,523,1948,"","0.00","0.0","0",28.97,29.92,8.2,40,270,24,270
"05-09-2016",67,37,52,-3.5,13,0,49,35,45,521,1949,"","0.00","0.0","0",29.11,30.07,7.1,23,120,16,150
"05-10-2016",54,48,51,-4.8,14,0,75,42,47,520,1950,"RA,BR","0.54","0.0","0",29.15,30.09,10.7,29,110,24,110
"05-11-2016",68,49,58,1.9,7,0,77,52,55,519,1951,"BR","0.00","0.0","0",29.15,30.08,5.5,17,90,13,100
