"V1","V2","V3","V4","V5","V6"
122,67,-39,-100,-17,-17
-39,-17,-33,-106,11,17
6,-50,-17,-106,6,6
0,22,6,-6,0,-28
-50,56,17,-17,-100,-17
-33,117,17,-89,-83,22
-72,67,17,-166,-106,56
-56,33,33,-83,-106,39
-28,56,72,-61,-94,56
-39,83,67,39,-89,33
-33,100,128,50,-6,-89
-28,28,144,39,-28,-50
-39,-33,44,67,-94,-78
-50,-56,-33,28,-72,11
-33,-44,-17,-28,-6,56
-78,56,11,-22,0,6
-11,44,6,-11,72,-33
11,-44,17,-61,39,-94
-56,-28,72,-17,6,-61
-50,-83,50,-11,-6,-56
-100,-56,-94,-127,-22,-33
-89,22,-122,-117,-11,-17
-106,89,-83,-106,0,-33
-17,0,-89,-72,28,0
-17,0,-67,-39,6,44
-17,22,-28,-39,-33,61
-28,44,-11,-94,-28,-17
-17,6,61,-132,-6,11
-33,-17,139,-72,0,-17
-44,50,133,-22,-50,83
-78,117,-28,-6,6,94
